feature_space,algorithm,n_clusters_target,n_clusters_pred,n_noise,noise_ratio,ari,nmi,seconds,params
h1,BIRCH,26,26,0,0.0,0.5350876096649166,0.7641554345148698,2.350590944290161,"{""n_clusters"": ""K"", ""threshold"": 0.5, ""branching_factor"": 50}"
h1,OPTICS,26,3,771,0.09888418622547133,0.002131497170116674,0.026405640689545488,12.27936577796936,"{""min_samples"": 5, ""metric"": ""euclidean"", ""extraction"": ""cluster_optics_dbscan"", ""eps"": ""80%-tile of core_distances (auto)""}"
h1,Affinity Propagation,26,107,0,0.0,0.27196630652781956,0.6615427163520056,21.886016845703125,"{""damping"": 0.9, ""max_iter"": 300, ""convergence_iter"": 20, ""preference"": ""1%-tile of -squared euclidean similarity"", ""affinity"": ""precomputed""}"
h2,BIRCH,26,26,0,0.0,0.5062368773350024,0.7364659108918726,1.5239319801330566,"{""n_clusters"": ""K"", ""threshold"": 0.5, ""branching_factor"": 50}"
h2,OPTICS,26,3,786,0.10080800307810696,0.002215126888878028,0.027089583766231044,6.557190179824829,"{""min_samples"": 5, ""metric"": ""euclidean"", ""extraction"": ""cluster_optics_dbscan"", ""eps"": ""80%-tile of core_distances (auto)""}"
h2,Affinity Propagation,26,106,0,0.0,0.26045250011121435,0.6372084167960728,24.813972234725952,"{""damping"": 0.9, ""max_iter"": 300, ""convergence_iter"": 20, ""preference"": ""1%-tile of -squared euclidean similarity"", ""affinity"": ""precomputed""}"
h3,BIRCH,26,26,0,0.0,0.5095365630928093,0.729016347998159,0.9889609813690186,"{""n_clusters"": ""K"", ""threshold"": 0.5, ""branching_factor"": 50}"
h3,OPTICS,26,2,813,0.1042708734128511,0.002227581265075608,0.026108196571694407,4.659862041473389,"{""min_samples"": 5, ""metric"": ""euclidean"", ""extraction"": ""cluster_optics_dbscan"", ""eps"": ""80%-tile of core_distances (auto)""}"
h3,Affinity Propagation,26,94,0,0.0,0.2817710114295491,0.6396779022485949,30.86830997467041,"{""damping"": 0.9, ""max_iter"": 300, ""convergence_iter"": 20, ""preference"": ""1%-tile of -squared euclidean similarity"", ""affinity"": ""precomputed""}"
h4,BIRCH,26,26,0,0.0,0.5445478186545324,0.7560195458822322,1.5943772792816162,"{""n_clusters"": ""K"", ""threshold"": 0.5, ""branching_factor"": 50}"
h4,OPTICS,26,2,843,0.10811850711812235,0.0022680826471482406,0.026299623517956547,6.846556901931763,"{""min_samples"": 5, ""metric"": ""euclidean"", ""extraction"": ""cluster_optics_dbscan"", ""eps"": ""80%-tile of core_distances (auto)""}"
h4,Affinity Propagation,26,93,0,0.0,0.3070482046267193,0.6690092331155011,23.807244062423706,"{""damping"": 0.9, ""max_iter"": 300, ""convergence_iter"": 20, ""preference"": ""1%-tile of -squared euclidean similarity"", ""affinity"": ""precomputed""}"
h5,BIRCH,26,26,0,0.0,0.5012270480459149,0.749521051787096,2.3266239166259766,"{""n_clusters"": ""K"", ""threshold"": 0.5, ""branching_factor"": 50}"
h5,OPTICS,26,4,795,0.10196229318968834,0.00204915970868499,0.026149149023681723,13.040215015411377,"{""min_samples"": 5, ""metric"": ""euclidean"", ""extraction"": ""cluster_optics_dbscan"", ""eps"": ""80%-tile of core_distances (auto)""}"
h5,Affinity Propagation,26,116,0,0.0,0.2706001264804995,0.6641627847175771,21.767471075057983,"{""damping"": 0.9, ""max_iter"": 300, ""convergence_iter"": 20, ""preference"": ""1%-tile of -squared euclidean similarity"", ""affinity"": ""precomputed""}"
